outcome,snow,rain,sunny,sand,hail,fog,grass,mist,electric,psychic,stealthrock,spikes,toxicspikes,stickyweb,reflect,lightscreen,aurora,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,



>>>> let em kno that highd was here >>>>
